FlatId | FlatNum | Building | Floor | Area | Rooms | Price | SPrice | Status | Date
529 | 22 | Дом №1 | 2 | 32,7 | 1 | 4350000 | 133027,50 | В продаже | 2023-07-20
527 | 9 | Дом №1 | 3 | 41,61 | 1 | 5200000 | 124970,00 | В продаже | 2023-07-20
543 | 15 | Дом №1 | 4 | 48,4 | 1 | 7000000 | 144628,10 | В продаже | 2023-07-20
546 | 45 | Дом №1 | 4 | 114,81 | 3 | 12854165 | 111960,30 | В продаже | 2023-07-20
175 | 7 | Дом №11 | 3 | 82,86 | 3 | 8845500 | 106752,40 | В продаже | 2023-07-20
220 | 27 | Дом №12 | 3 | 76,35 | 2 | 7500000 | 98231,83 | В продаже | 2023-07-20
218 | 29 | Дом №12 | 3 | 31,9 | 2 | 7000000 | 219435,70 | В продаже | 2023-07-20
221 | 7 | Дом №12 | 3 | 79,53 | 3 | 8921740 | 112180,80 | В продаже | 2023-07-20
420 | 20 | Дом №16 | 1 | 63,52 | 2 | 8016986 | 126212,00 | В продаже | 2023-07-20
442 | 31 | Дом №16 | 2 | 81,4 | 3 | 9960166 | 122360,80 | В продаже | 2023-07-20
431 | 26 | Дом №16 | 3 | 71,2 | 3 | 8405617 | 118056,40 | В продаже | 2023-07-20
432 | 34 | Дом №16 | 3 | 85,78 | 3 | 10403790 | 121284,60 | В продаже | 2023-07-20
428 | 36 | Дом №16 | 3 | 87,2 | 3 | 10454033 | 119885,70 | В продаже | 2023-07-20
458 | 30 | Дом №17 | 1 | 33,9 | 1 | 5250000 | 154867,30 | В продаже | 2023-07-20
461 | 11 | Дом №17 | 1 | 52,3 | 2 | 6990000 | 133652,00 | В продаже | 2023-07-20
480 | 34 | Дом №17 | 2 | 33,7 | 1 | 5350000 | 158753,70 | В продаже | 2023-07-20
484 | 7 | Дом №17 | 3 | 84,58 | 3 | 9332915 | 110344,20 | В продаже | 2023-07-20
567 | 38 | Дом №2 | 2 | 35,74 | 1 | 6390000 | 178791,30 | В продаже | 2023-07-20
598 | 13 | Дом №2 | 4 | 56,45 | 2 | 8106587 | 143606,50 | В продаже | 2023-07-20
594 | 32 | Дом №2 | 4 | 78,83 | 3 | 8500000 | 107827,00 | В продаже | 2023-07-20
590 | 43 | Дом №2 | 4 | 78,83 | 3 | 8500000 | 107827,00 | В продаже | 2023-07-20
