FlatId | FlatNum | Building | Floor | Area | Rooms | Price | SPrice | Status | Date
4405 | 8 | -- | 1 | 38,79 | 0 | 0 | 0,00 | Продано | 2023-07-20
4702 | 305 | -- | 1 | 32,61 | 0 | 4402350 | 135000,00 | В продаже | 2023-07-20
4398 | 1 | -- | 1 | 39,03 | 1 | 4917780 | 126000,00 | В продаже | 2023-07-20
4399 | 2 | -- | 1 | 44,52 | 1 | 5297880 | 119000,00 | В продаже | 2023-07-20
4400 | 3 | -- | 1 | 44,66 | 1 | 0 | 0,00 | Продано | 2023-07-20
4402 | 5 | -- | 1 | 35,52 | 1 | 4617600 | 130000,00 | В продаже | 2023-07-20
4403 | 6 | -- | 1 | 36,95 | 1 | 4803500 | 130000,00 | В продаже | 2023-07-20
4404 | 7 | -- | 1 | 38,63 | 1 | 4712860 | 122000,00 | В продаже | 2023-07-20
4406 | 9 | -- | 1 | 37,25 | 1 | 0 | 0,00 | Продано | 2023-07-20
4409 | 12 | -- | 1 | 40,76 | 1 | 5502600 | 135000,00 | В продаже | 2023-07-20
4703 | 306 | -- | 1 | 48,8 | 1 | 5856000 | 120000,00 | В продаже | 2023-07-20
4704 | 307 | -- | 1 | 46,24 | 1 | 5548800 | 120000,00 | В продаже | 2023-07-20
4705 | 308 | -- | 1 | 51,26 | 1 | 6048680 | 118000,00 | В продаже | 2023-07-20
4707 | 310 | -- | 1 | 45,93 | 1 | 5557530 | 121000,00 | В продаже | 2023-07-20
4708 | 311 | -- | 1 | 48,77 | 1 | 5901170 | 121000,00 | В продаже | 2023-07-20
4709 | 312 | -- | 1 | 40,49 | 1 | 5061250 | 125000,00 | В продаже | 2023-07-20
4401 | 4 | -- | 1 | 68,04 | 2 | 7824600 | 115000,00 | В продаже | 2023-07-20
4407 | 10 | -- | 1 | 56,78 | 2 | 0 | 0,00 | Продано | 2023-07-20
4410 | 13 | -- | 1 | 59,81 | 2 | 7655680 | 128000,00 | В продаже | 2023-07-20
4706 | 309 | -- | 1 | 72,23 | 2 | 0 | 0,00 | Продано | 2023-07-20
4408 | 11 | -- | 1 | 76,8 | 3 | 9984000 | 130000,00 | В продаже | 2023-07-20
4418 | 21 | -- | 2 | 28,44 | 0 | 0 | 0,00 | Продано | 2023-07-20
4419 | 22 | -- | 2 | 22,78 | 0 | 0 | 0,00 | Продано | 2023-07-20
4710 | 313 | -- | 2 | 32,61 | 0 | 4402350 | 135000,00 | В продаже | 2023-07-20
4411 | 14 | -- | 2 | 39,03 | 1 | 4917780 | 126000,00 | В продаже | 2023-07-20
4412 | 15 | -- | 2 | 44,52 | 1 | 0 | 0,00 | Забронировано | 2023-07-20
4413 | 16 | -- | 2 | 44,66 | 1 | 0 | 0,00 | Продано | 2023-07-20
4415 | 18 | -- | 2 | 35,52 | 1 | 0 | 0,00 | Продано | 2023-07-20
4416 | 19 | -- | 2 | 36,95 | 1 | 4803500 | 130000,00 | В продаже | 2023-07-20
4417 | 20 | -- | 2 | 38,63 | 1 | 4712860 | 122000,00 | В продаже | 2023-07-20
4420 | 23 | -- | 2 | 37,25 | 1 | 0 | 0,00 | Продано | 2023-07-20
4423 | 26 | -- | 2 | 40,76 | 1 | 5502600 | 135000,00 | В продаже | 2023-07-20
4711 | 314 | -- | 2 | 48,8 | 1 | 5856000 | 120000,00 | В продаже | 2023-07-20
4712 | 315 | -- | 2 | 46,24 | 1 | 5548800 | 120000,00 | В продаже | 2023-07-20
4713 | 316 | -- | 2 | 51,26 | 1 | 6048680 | 118000,00 | В продаже | 2023-07-20
4715 | 318 | -- | 2 | 45,93 | 1 | 5603460 | 122000,00 | В продаже | 2023-07-20
4716 | 319 | -- | 2 | 48,77 | 1 | 5949940 | 122000,00 | В продаже | 2023-07-20
4717 | 320 | -- | 2 | 40,49 | 1 | 5061250 | 125000,00 | В продаже | 2023-07-20
4414 | 17 | -- | 2 | 68,04 | 2 | 0 | 0,00 | Продано | 2023-07-20
4421 | 24 | -- | 2 | 56,78 | 2 | 0 | 0,00 | Продано | 2023-07-20
4424 | 27 | -- | 2 | 59,78 | 2 | 7651840 | 128000,00 | В продаже | 2023-07-20
4714 | 317 | -- | 2 | 72,23 | 2 | 8306450 | 115000,00 | В продаже | 2023-07-20
4422 | 25 | -- | 2 | 76,8 | 3 | 9984000 | 130000,00 | В продаже | 2023-07-20
4718 | 321 | -- | 3 | 32,61 | 0 | 4402350 | 135000,00 | В продаже | 2023-07-20
4425 | 28 | -- | 3 | 39,03 | 1 | 4956810 | 127000,00 | В продаже | 2023-07-20
4426 | 29 | -- | 3 | 44,52 | 1 | 0 | 0,00 | Продано | 2023-07-20
4427 | 30 | -- | 3 | 44,66 | 1 | 0 | 0,00 | Продано | 2023-07-20
4429 | 32 | -- | 3 | 35,52 | 1 | 0 | 0,00 | Забронировано | 2023-07-20
4430 | 33 | -- | 3 | 36,95 | 1 | 4803500 | 130000,00 | В продаже | 2023-07-20
4431 | 34 | -- | 3 | 38,63 | 1 | 4790120 | 124000,00 | В продаже | 2023-07-20
4432 | 35 | -- | 3 | 49,57 | 1 | 5799690 | 117000,00 | В продаже | 2023-07-20
4433 | 36 | -- | 3 | 39,89 | 1 | 0 | 0,00 | Продано | 2023-07-20
4436 | 39 | -- | 3 | 40,76 | 1 | 5502600 | 135000,00 | В продаже | 2023-07-20
4719 | 322 | -- | 3 | 48,8 | 1 | 5856000 | 120000,00 | В продаже | 2023-07-20
4720 | 323 | -- | 3 | 46,24 | 1 | 5548800 | 120000,00 | В продаже | 2023-07-20
4721 | 324 | -- | 3 | 51,26 | 1 | 0 | 0,00 | Продано | 2023-07-20
4723 | 326 | -- | 3 | 45,93 | 1 | 5603460 | 122000,00 | В продаже | 2023-07-20
4724 | 327 | -- | 3 | 48,77 | 1 | 5949940 | 122000,00 | В продаже | 2023-07-20
4725 | 328 | -- | 3 | 40,49 | 1 | 0 | 0,00 | Продано | 2023-07-20
4428 | 31 | -- | 3 | 76,01 | 2 | 0 | 0,00 | Забронировано | 2023-07-20
4434 | 37 | -- | 3 | 56,78 | 2 | 7267840 | 128000,00 | В продаже | 2023-07-20
4437 | 40 | -- | 3 | 59,78 | 2 | 7651840 | 128000,00 | В продаже | 2023-07-20
4722 | 325 | -- | 3 | 72,23 | 2 | 8306450 | 115000,00 | В продаже | 2023-07-20
4435 | 38 | -- | 3 | 76,8 | 3 | 10214400 | 133000,00 | В продаже | 2023-07-20
4726 | 329 | -- | 4 | 32,61 | 0 | 4402350 | 135000,00 | В продаже | 2023-07-20
4438 | 41 | -- | 4 | 39,03 | 1 | 4956810 | 127000,00 | В продаже | 2023-07-20
4439 | 42 | -- | 4 | 44,52 | 1 | 0 | 0,00 | Забронировано | 2023-07-20
4440 | 43 | -- | 4 | 44,66 | 1 | 0 | 0,00 | Продано | 2023-07-20
4442 | 45 | -- | 4 | 35,52 | 1 | 0 | 0,00 | Продано | 2023-07-20
4443 | 46 | -- | 4 | 36,95 | 1 | 0 | 0,00 | Продано | 2023-07-20
4444 | 47 | -- | 4 | 38,63 | 1 | 4790120 | 124000,00 | В продаже | 2023-07-20
4445 | 48 | -- | 4 | 49,57 | 1 | 5799690 | 117000,00 | В продаже | 2023-07-20
4446 | 49 | -- | 4 | 39,89 | 1 | 4946360 | 124000,00 | В продаже | 2023-07-20
4449 | 52 | -- | 4 | 40,76 | 1 | 0 | 0,00 | Продано | 2023-07-20
4727 | 330 | -- | 4 | 48,8 | 1 | 5904800 | 121000,00 | В продаже | 2023-07-20
4728 | 331 | -- | 4 | 46,24 | 1 | 5595040 | 121000,00 | В продаже | 2023-07-20
